time,U0,x0
0.31800,-1.3287631251,0.4673498392
0.32000,-1.3658219287,0.4646181953
0.32200,-1.4026925715,0.4618128102
0.32400,-1.4393683073,0.4589340736
0.32600,-1.4758423393,0.4559823889
0.32800,-1.5121078254,0.4529581732
0.33000,-1.5481578833,0.4498618575
0.33200,-1.5839855963,0.4466938863
0.33400,-1.6195840184,0.4434547182
0.33600,-1.6549461800,0.4401448259
0.33800,-1.6900650938,0.4367646957
0.34000,-1.7249337599,0.4333148282
0.34200,-1.7595451716,0.4297957378
0.34400,-1.7938923208,0.4262079532
0.34600,-1.8279682032,0.4225520168
0.34800,-1.8617658237,0.4188284851
0.35000,-1.8952782009,0.4150379287
0.35200,-1.9284983726,0.4111809320
0.35400,-1.9614193996,0.4072580932
0.35600,-1.9940343705,0.4032700244
0.35800,-2.0263364055,0.3992173516
0.36000,-2.0583186600,0.3951007143
0.36200,-2.0899743283,0.3909207657
0.36400,-2.1212966461,0.3866781724
0.36600,-2.1522788935,0.3823736146
0.36800,-2.1829143974,0.3780077858
0.37000,-2.2131965329,0.3735813927
0.37200,-2.2431187252,0.3690951553
0.37400,-2.2726744502,0.3645498064
0.37600,-2.3018572357,0.3599460919
0.37800,-2.3306606612,0.3552847706
0.38000,-2.3590783577,0.3505666139
0.38200,-2.3871040071,0.3457924058
0.38400,-2.4147313412,0.3409629432
0.38600,-2.4419541400,0.3360790349
0.38800,-2.4687662300,0.3311415024
0.39000,-2.4951614815,0.3261511795
0.39200,-2.5211338064,0.3211089118
0.39400,-2.5466771544,0.3160155575
0.39600,-2.5717855101,0.3108719865
0.39800,-2.5964528886,0.3056790807
0.40000,-2.6206733317,0.3004377341
0.40200,-2.6444409032,0.2951488523
0.40400,-2.6677496837,0.2898133529
0.40600,-2.6905937662,0.2844321654
0.40800,-2.7129672500,0.2790062309
0.41000,-2.7348642355,0.2735365024
0.41200,-2.7562788182,0.2680239448
0.41400,-2.7772050825,0.2624695346
0.41600,-2.7976370962,0.2568742604
0.41800,-2.8175689033,0.2512391226
0.42000,-2.8369945182,0.2455651336
0.42200,-2.8559079193,0.2398533177
0.42400,-2.8743030424,0.2341047116
0.42600,-2.8921737742,0.2283203641
0.42800,-2.9095139461,0.2225013362
0.43000,-2.9263173279,0.2166487015
0.43200,-2.9425776217,0.2107635463
0.43400,-2.9582884558,0.2048469694
0.43600,-2.9734433791,0.1989000826
0.43800,-2.9880358557,0.1929240109
